gene_sz_lastname;gene_sz_firstname;country;gene_i_birthdate;gene_i_size;gene_i_weight;charac_i_plain;charac_i_mountain;charac_i_downhilling;charac_i_cobble;charac_i_timetrial;charac_i_prologue;charac_i_sprint;charac_i_acceleration;charac_i_endurance;charac_i_resistance;charac_i_recuperation;charac_i_hill;charac_i_baroudeur
Zeits;Andrey;Kazakhstan;19861214;189;73;69;75;70;60;69;69;67;70;75;73;74;74;69
Valverde;Alejandro;Spain;19800425;177;61;75;77;79;73;72;72;72;75;75;76;73;82;75
Madouas;Valentin;France;19960712;178;71;76;75;73;78;65;67;71;73;77;78;75;78;77
Seigle;Romain;France;19941011;170;63;72;70;73;62;71;72;70;70;70;72;68;72;69
Mollema;Bauke;Netherlands;19861126;181;64;72;77;72;65;74;73;69;72;78;76;70;80;77
Van Emden;Jos;Netherlands;19850218;186;74;76;62;70;72;74;75;70;66;71;75;74;66;66
Langeveld;Sebastian;Netherlands;19850117;178;67;76;62;73;77;75;76;69;69;77;76;67;70;74
Gallopin;Tony;France;19880524;180;69;75;73;77;72;74;74;71;76;74;76;74;74;76
Honkisz;Adrian;Poland;19880227;176;61;68;65;66;60;62;61;68;72;66;66;68;69;71
Roux;Anthony;France;19870418;189;70;72;71;70;61;74;74;72;75;74;73;68;75;74
Hollenstein;Reto;Switzerland;19850822;197;80;73;70;67;70;72;73;68;67;72;72;72;70;72
Hermans;Ben;Belgium;19860806;186;72;73;76;70;66;74;71;66;69;74;76;70;76;78
Frapporti;Marco;Italy;19850330;179;69;73;65;68;63;70;67;71;70;70;73;70;70;77
Gilbert;Philippe;Belgium;19820705;179;69;75;66;74;77;71;72;71;74;77;75;71;76;75
Sánchez;Luis León;Spain;19831124;186;73;75;74;80;62;75;74;69;74;74;76;75;76;76
Taaramäe;Rein;Estonia;19870424;185;68;71;76;70;64;72;70;60;68;71;75;72;73;76
Chérel;Mikael;France;19860317;183;67;71;73;72;62;65;65;63;66;73;72;75;74;75
Buts;Vitaliy;Ukraine;19861024;176;68;70;68;68;60;67;68;69;72;67;70;71;71;76
Madrazo;Ángel;Spain;19880730;171;60;67;72;66;60;66;66;69;72;70;73;71;72;81
Finetto;Mauro;Italy;19850510;177;62;72;71;68;66;65;68;71;73;72;73;68;73;73
